Terms,TF,TFIDFN
kukit,0,0.0
kukunya,0,0.0
kulitku,0,0.0
kulitnya,0,0.0
kulkaswajah,0,0.0
kunig,0,0.0
kunyit,0,0.0
kureng,0,0.0
kusuka,0,0.0
kya,0,0.0
lagsung,0,0.0
lain,0,0.0
lakilaki,0,0.0
lameilaaa,0,0.0
langganan,0,0.0
lantaran,0,0.0
lapisi,0,0.0
latihn,0,0.0
latulif,0,0.0
latulip,0,0.0
latulipnya,0,0.0
lauder,0,0.0
lazada,0,0.0
lebar,0,0.0
lebat,0,0.0
lebih,0,0.0
lee,0,0.0
lembab,0,0.0
lemon,0,0.0
lengketnya,0,0.0
lgi,0,0.0
lhkok,0,0.0
liat,0,0.0
liatnya,0,0.0
liburan,0,0.0
lihat,0,0.0
lihatnya,0,0.0
likuid,0,0.0
line,0,0.0
linknya,0,0.0
lipstiknya,0,0.0
liquin,0,0.0
ll,0,0.0
look,0,0.0
loos,0,0.0
lose,0,0.0
love,0,0.0
luka,0,0.0
luki,0,0.0
lulit,0,0.0
lum,0,0.0
lumecolor,0,0.0
lupuspak,0,0.0
lurus,0,0.0
ma,0,0.0
maap,0,0.0
maawar,0,0.0
mack,0,0.0
mad,0,0.0
madam,0,0.0
madamegi,0,0.0
madamgi,0,0.0
madformakeup,0,0.0
madu,0,0.0
mahasiswa,0,0.0
mahu,0,0.0
majli,0,0.0
makai,0,0.0
makanan,0,0.0
makanpun,0,0.0
makasi,0,0.0
makek,0,0.0
makeoverr,0,0.0
makeupan,0,0.0
makhluk,0,0.0
maksudnya,0,0.0
malm,0,0.0
mampudok,0,0.0
mananya,0,0.0
manfaatnya,0,0.0
mantap,0,0.0
marck,0,0.0
marcksh,0,0.0
marina,0,0.0
markc,0,0.0
marsk,0,0.0
maskaranya,0,0.0
maskeran,0,0.0
masok,0,0.0
masyarakat,0,0.0
mataku,0,0.0
matanya,0,0.0
mateng,0,0.0
mau,0,0.0
mauv,0,0.0
maxi,0,0.0
may,0,0.0
mb,0,0.0
mbaknya,0,0.0
mbradil,0,0.0
me,0,0.0
meja,0,0.0
mekapnya,0,0.0
mekup,0,0.0
melahir,0,0.0
melanda,0,0.0
melebar,0,0.0
melejit,0,0.0
melenceng,0,0.0
memakai,0,0.0
memanipulasi,0,0.0
memb,0,0.0
membaik,0,0.0
membangun,0,0.0
membantu,0,0.0
memudar,0,0.0
menahun,0,0.0
mencapai,0,0.0
mencerah,0,0.0
mendempul,0,0.0
mendingan,0,0.0
menempel,0,0.0
meng,0,0.0
mengagumi,0,0.0
mengalami,0,0.0
mengandung,0,0.0
mengangkat,0,0.0
mengelupa,0,0.0
menggelap,0,0.0
menggump,0,0.0
menghilang,0,0.0
menghilangka,0,0.0
menghitam,0,0.0
mengkerut,0,0.0
mengurangi,0,0.0
menipu,0,0.0
menjerit,0,0.0
menjulang,0,0.0
menurutku,0,0.0
menutupi,0,0.0
menyatu,0,0.0
menyelam,0,0.0
menyelamatkan,0,0.0
menyerap,0,0.0
meracik,0,0.0
meradang,0,0.0
merahan,0,0.0
merahh,0,0.0
mercuri,0,0.0
mereda,0,0.0
merek,0,0.0
meresap,0,0.0
meriah,0,0.0
merubah,0,0.0
merusak,0,0.0
meta,0,0.0
mexelar,0,0.0
mh,0,0.0
mikirin,0,0.0
milki,0,0.0
min,0,0.0
minder,0,0.0
minggir,0,0.0
minggu,0,0.0
mingguan,0,0.0
minit,0,0.0
mintk,0,0.0
minyakan,0,0.0
minyaknya,0,0.0
mir,0,0.0
mira,0,0.0
misalni,0,0.0
miss,0,0.0
mist,0,0.0
mk,0,0.0
mkash,0,0.0
mkeknya,0,0.0
mksh,0,0.0
mksimalnya,0,0.0
mlah,0,0.0
mlmterahir,0,0.0
mn,0,0.0
mna,0,0.0
mngknya,0,0.0
modal,0,0.0
modelnya,0,0.0
mohhon,0,0.0
mohon,0,0.0
moistarej,0,0.0
mostur,0,0.0
mouistur,0,0.0
mrk,0,0.0
msglow,0,0.0
mslh,0,0.0
mu,0,0.0
mudaan,0,0.0
mudahan,0,0.0
mufe,0,0.0
muka,0,0.0
mukaku,0,0.0
mukanya,0,0.0
mukku,0,0.0
mulutnya,0,0.0
mungkinoleskn,0,0.0
murni,0,0.0
musiknya,0,0.0
musti,0,0.0
my,0,0.0
nafkah,0,0.0
nahda,0,0.0
naikin,0,0.0
nak,0,0.0
namanya,0,0.0
nanah,0,0.0
nangi,0,0.0
nanyaa,0,0.0
nanyaakan,0,0.0
nanyaamis,0,0.0
nanyakklo,0,0.0
naua,0,0.0
navagrin,0,0.0
ndak,0,0.0
ngambang,0,0.0
ngamuk,0,0.0
nganclo,0,0.0
nganggur,0,0.0
ngangkat,0,0.0
ngantuk,0,0.0
ngaruh,0,0.0
ngaruhh,0,0.0
ngasal,0,0.0
ngasih,0,0.0
ngatasin,0,0.0
ngatasinya,0,0.0
nge,0,0.0
ngebantu,0,0.0
ngeblend,0,0.0
ngebul,0,0.0
ngecilin,0,0.0
ngedempul,0,0.0
ngefek,0,0.0
ngegumpel,0,0.0
