Terms,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,TFNorm,DF,IDF,TFIDF
glowing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
gthterus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17691322364726594,0.0,0.17691322364726594,1,2.7047480922384253,0.4785057041516924
habis,0.0,0.0,0.0,0.0,0.42853734036956914,0.0,0.0,0.0,0.0,0.0,0.4285373403695692,1,2.7047480922384253,1.1590855538175209
happy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213319785148997,0.21331978514899694,1,2.7047480922384253,0.5769762819184604
harga,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
hari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17691322364726594,0.0,0.17691322364726594,1,2.7047480922384253,0.4785057041516924
hasil,0.0,0.41555891100467346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4155589110046735,1,2.7047480922384253,1.123982171752568
hectic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
hidung,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3538264472945319,0.0,0.3538264472945319,1,2.7047480922384253,0.9570114083033848
hitam,0.0,0.0,0.0,0.28035681610650437,0.0,0.0,0.0,0.0,0.0,0.0,0.2803568161065043,1,2.7047480922384253,0.7582945635101067
hmpir,0.0,0.41555891100467346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4155589110046735,1,2.7047480922384253,1.123982171752568
huhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
hujau,0.0,0.0,0.0,0.0,0.0,0.3242141791770686,0.0,0.0,0.0,0.0,0.3242141791770686,1,2.7047480922384253,0.8769176826058233
ijo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14346780410856014,0.0,0.0,0.1434678041085601,1,2.7047480922384253,0.38804426946026416
ini,0.0,0.0,0.0,0.28035681610650437,0.0,0.0,0.0,0.0,0.0,0.0,0.2803568161065043,1,2.7047480922384253,0.7582945635101067
jadi,0.0,0.0,0.0,0.0,0.0,0.0,0.5161344651876945,0.0,0.0,0.18134130626763578,0.6974757714553302,2,2.2992829841302607,1.6036941731503673
jangkau,0.0,0.0,0.14187700191923402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14187700191923402,1,2.7047480922384253,0.3837415502735556
jerawat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2869356082171203,0.0,0.0,0.2869356082171202,1,2.7047480922384253,0.7760885389205283
