,DecisionValue
D722,-0.014010333353100151
D723,-0.024269032970877836
D724,-0.017418148110729028
D725,-0.015104936112466731
D726,-0.023114021307834028
D727,-0.012000166433207712
D728,-0.014741549151250833
D729,-0.016273399636682125
D730,-0.02186631634446513
D731,-0.014435540328173829
D732,-0.026866305562334977
D733,-0.014140174646410824
D734,-0.02044274895054478
D735,-0.016905820917623018
D736,-0.013087079136271105
D737,-0.010941832091789828
D738,-0.007744229823153686
D739,-0.010783137896451182
D740,-0.035768673798680685
D741,-0.02248836847675514
D742,-0.01914597643307743
D743,-0.006108869469792198
D744,-0.024724867122458728
D745,-0.019438079028097674
D746,-0.018736883676156647
D747,-0.010688659590350306
D748,-0.010964378682745876
D749,-0.005594702668010606
D750,-0.011402630073253912
D751,-0.015994392878712908
D752,-0.007617180588644819
D753,-0.016029749413216512
D754,-0.014057476256523488
D755,-0.026826998258150426
D756,-0.018791463952798106
D757,-0.012675521050730169
D758,-0.06869438676352338
D759,-0.01923652652211819
D760,-0.012274367583302536
D761,-0.035232506415004486
D762,-0.013702782908219255
D763,-0.011842095905222248
D764,-0.010855369541022557
D765,-0.018019423042243278
D766,-0.009783390135805335
D767,-0.0160594196958459
D768,-0.015508951323669567
D769,-0.014238856075777918
D770,-0.009958404929741796
D771,-0.012527422254491277
D772,-0.019770277664642306
D773,-0.007378629569442583
D774,-0.014665957967231429
D775,-0.027391794136894417
D776,-0.023840129221112238
D777,-0.01838148222474272
D778,-0.012305012099352027
D779,-0.010694231273731671
D780,-0.02923796013358881
D781,-0.018119862267805945
D782,-0.01669778846383124
D783,-0.012802967341357685
D784,-0.022830217550743825
D785,-0.03997166581519339
D786,-0.019011585570924375
D787,-0.01971860319926629
D788,-0.010813226663201777
D789,-0.010016597753011197
D790,-0.019473619876345275
D791,-0.019573663091267936
D792,-0.014552663951773091
D793,-0.014383874447369709
D794,-0.015072137975897924
D795,-0.012342200408096925
D796,-0.013188614685518837
D797,-0.016698175755667934
D798,-0.011673514917285455
D799,-0.023465429251107773
D800,-0.017560709738639317
D801,-0.012849668884310633
D802,-0.011269823742201007
D803,-0.008553709518257723
D804,-0.016198317612326787
D805,-0.011611077872672824
D806,-0.013122324814536412
D807,-0.012757733857803336
D808,-0.017911636612733435
D809,-0.008324700516248406
D810,-0.015091762002212503
D811,-0.006379837893923279
D812,-0.012103469336868152
D813,-0.013228468385997841
D814,-0.007748955187518057
D815,-0.011375992160375074
D816,-0.012142433832704285
D817,-0.018791463952798106
D818,-0.012675521050730169
D819,-0.06869438676352338
D820,-0.01923652652211819
D821,-0.012274367583302536
D822,-0.035232506415004486
D823,-0.013702782908219255
D824,-0.011842095905222248
D825,-0.010855369541022557
D826,-0.018019423042243278
D827,-0.009783390135805335
D828,-0.0160594196958459
D829,-0.015508951323669567
D830,-0.014238856075777918
D831,-0.009958404929741796
D832,-0.012527422254491277
D833,-0.019770277664642306
D834,-0.007378629569442583
D835,-0.014665957967231429
D836,-0.027391794136894417
D837,-0.023840129221112238
D838,-0.01838148222474272
D839,-0.012305012099352027
D840,-0.010694231273731671
D841,-0.02923796013358881
D842,-0.018119862267805945
D843,-0.01669778846383124
D844,-0.012802967341357685
D845,-0.022830217550743825
D846,-0.03997166581519339
D847,-0.019011585570924375
D848,-0.01971860319926629
D849,-0.010813226663201777
D850,-0.010016597753011197
D851,-0.019473619876345275
D852,-0.019573663091267936
D853,-0.014552663951773091
D854,-0.014383874447369709
D855,-0.015072137975897924
D856,-0.012342200408096925
D857,-0.013188614685518837
D858,-0.016698175755667934
D859,-0.011673514917285455
D860,-0.023465429251107773
D861,-0.017560709738639317
D862,-0.012849668884310633
D863,-0.011269823742201007
D864,-0.008553709518257723
D865,-0.016198317612326787
D866,-0.011611077872672824
D867,-0.013122324814536412
D868,-0.012757733857803336
D869,-0.017911636612733435
D870,-0.008324700516248406
D871,-0.015091762002212503
D872,-0.006379837893923279
D873,-0.012103469336868152
D874,-0.013228468385997841
D875,-0.007748955187518057
D876,-0.011375992160375074
D877,-0.012142433832704285
D878,-0.017775555080962624
D879,-0.02308118688329353
D880,-0.00041088146036190147
D881,-0.01724264171083473
D882,-0.021179760304290054
D883,-0.024055156247236243
D884,-0.02036073599282167
D885,-0.010773393846667747
D886,-0.01405753882505734
D887,-0.01837231488088624
D888,-0.03293720767762951
D889,-0.024100285674866415
D890,-0.02647743552115417
D891,-0.012174241594377794
D892,-0.01296358877771932
D893,-0.012122844612998795
D894,-0.005221916072957353
D895,-0.01933747115924979
D896,-0.014731703645374458
D897,-0.026962912048644323
D898,-0.04907692174536797
D899,-0.010505230258450737
D900,-0.040761040528715556
D901,-0.01900890877387477
D902,-0.02260740008095726
D903,-0.010405802245404711
D904,-0.02104525364228032
D905,-0.01485313194271987
D906,-0.009856684239756795
D907,-0.012016094536949223
D908,-0.02245758901407146
D909,-0.017207813332341566
D910,-0.015423073520689702
D911,-0.021542559754927575
D912,-0.015934988538827435
D913,-0.029384220865428197
D914,-0.02619653786645489
D915,-0.021511808296265575
D916,-0.01524280706061806
D917,-0.022304524900093246
D918,-0.02531601481573361
D919,-0.03262563904206033
D920,-0.012185931315613874
D921,-0.02436305596936537
D922,-0.01890658902669523
D923,-0.013908002523858638
D924,-0.03287704945761218
D925,-0.014274280672174448
D926,-0.02047631157714544
D927,-0.023125218012287792
D928,-0.014213306241223165
D929,-0.009186299862738955
D930,-0.019408398739187534
D931,-0.0112987332812345
D932,-0.010285472852244768
D933,-0.013220845796142265
D934,-0.01567193318209256
D935,-0.023982039373718452
D936,-0.030463245266269194
D937,-0.01138267333375028
D938,-0.02113079709272977
D939,-0.022616791745055424
D940,-0.023306716198489653
D941,-0.028923584376636967
D942,-0.013925523706909323
D943,-0.024128717800940874
D944,-0.028127352407074424
D945,-0.019756080815698802
D946,-0.016857162127609442
D947,-0.02894327424876407
D948,-0.025887704611916626
D949,-0.028931979587068907
D950,-0.016346782876819947
D951,-0.013370371540844172
D952,-0.018259773820314996
D953,-0.015525390762217836
D954,-0.017359052645716945
D955,-0.013058897944669447
D956,-0.02238099021522907
D957,-0.015145744250148394
D958,-0.023046450671132174
D959,-0.02026044245455743
D960,-0.010675289441033818
D961,-0.02095583535140396
D962,-0.01406407584156371
D963,-0.0166400888614346
D964,-0.01904797509573088
D965,-0.040761040528715556
D966,-0.01906731020923174
D967,-0.01900890877387477
D968,-0.02240839777153842
D969,-0.02260740008095726
D970,-0.02153774666789027
D971,-0.019023458384742176
D972,-0.05691375753656659
D973,-0.023142370358102453
D974,-0.012376383848376079
D975,-0.013214019015842323
D976,-0.02112163743221873
D977,-0.018174936695443348
D978,-0.01488469129154804
D979,-0.01823148304026407
D980,-0.01463146904219152
D981,-0.016675058083560387
D982,-0.015325855801399543
D983,-0.018157880368034385
D984,-0.017964564742378897
D985,-0.024268803274475056
D986,-0.023007304007125074
D987,-0.01569371942644633
D988,-0.0203602861638739
D989,-0.014790555220243081
D990,-0.022279711105826973
D991,-0.023733872552351792
D992,-0.03286349505165113
D993,-0.016562565254364267
D994,-0.021915152795747232
D995,-0.03197485252331778
D996,-0.01817811194925298
D997,-0.02589587331592795
D998,-0.018674882979494076
D999,-0.01482987094558412
D1000,-0.020659165097828676
